OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
112,56,60,4,56631,0
113,56,90,2,57754,0
114,56,39,1,27635,10
115,57,18,3,41541,15
116,57,50,5,43125,5
117,57,59,4,70675,0
118,58,48,4,40101,5
119,58,28,3,79376,0
120,58,57,3,75674,10
121,59,59,1,70675,5
122,60,73,2,44033,0
123,61,77,1,75554,10
124,62,15,1,68622,5
125,63,3,3,49772,0
126,63,23,2,57533,15
127,64,66,1,22910,15
128,64,76,5,9645,5
129,65,8,4,41204,15
130,66,11,3,24456,5
131,67,75,3,3301,15
132,67,71,5,62121,10
133,67,92,4,10661,15
134,68,93,4,50305,5
135,68,28,4,79376,10
136,68,56,4,79557,15
137,69,86,3,71910,5
138,69,33,4,58012,0
139,70,96,3,8261,5
140,71,46,4,5175,0
141,71,86,3,71910,10
142,72,20,4,9702,5
143,73,98,3,75556,5
144,74,35,3,19636,10
145,74,4,3,59738,10
146,74,24,1,39751,5
147,75,82,5,32762,5
148,75,4,4,59738,15
149,75,12,4,30928,10
150,76,77,2,75554,5
151,76,11,5,24456,0
152,76,7,1,76014,10
153,77,54,2,5114,0
154,77,35,3,19636,15
155,78,63,3,53628,0
156,78,68,2,37706,15
157,78,86,5,71910,0
158,79,98,3,75556,10
159,80,56,4,79557,5
160,80,23,5,57533,10
161,80,17,1,17254,15
162,81,41,5,53364,15
163,82,3,2,49772,15
164,82,42,3,21399,0
165,83,52,4,70382,10
166,83,68,3,37706,5
167,83,11,3,24456,5
168,84,100,3,55021,10
169,85,26,5,34764,5
170,85,23,1,57533,5
171,86,58,5,57254,10
172,86,88,3,32506,5
173,86,73,4,44033,0
174,87,76,3,9645,0
175,87,8,3,41204,15
176,88,10,1,7555,15
177,88,83,4,17577,0
178,89,65,1,55208,15
179,89,20,1,9702,10
180,90,57,5,75674,5
181,90,68,3,37706,10
182,90,67,3,53325,15
183,91,81,3,67989,0
184,92,37,5,56433,5
185,92,33,3,58012,0
186,93,85,5,58108,0
187,93,51,3,36685,15
188,93,17,3,17254,5
189,94,47,3,26258,5
190,95,29,2,34700,5
191,96,95,3,43469,5
192,96,68,5,37706,15
193,96,5,2,72945,5
194,97,53,3,34337,5
195,98,69,2,76119,10
196,99,57,3,75674,15
197,99,60,5,56631,15
198,99,99,2,46205,5
199,100,48,1,40101,0
200,100,71,3,62121,0
201,101,56,1,79557,5
202,102,51,5,36685,10
203,103,4,3,59738,0
204,104,61,2,41245,15
205,104,90,4,57754,0
206,105,71,5,62121,15
207,106,7,2,76014,15
208,107,69,5,76119,5
209,107,3,2,49772,10
210,107,81,4,67989,0
211,108,86,1,71910,10
212,109,82,4,32762,10
213,110,31,1,36365,10
214,110,94,2,28143,0
215,111,60,2,56631,5
216,111,90,1,57754,15
217,111,62,1,39463,10
218,112,40,4,13573,15
219,112,66,3,22910,0
220,113,43,3,3348,15
221,113,35,4,19636,15
222,113,16,4,41280,10
223,114,67,1,53325,15
224,114,35,1,19636,15
225,115,42,3,21399,10
226,116,45,1,20966,10
227,116,58,5,57254,15
228,117,52,2,70382,0
229,117,47,2,26258,15
230,117,66,1,22910,5
231,118,47,5,26258,0
232,118,50,5,43125,5
233,119,74,2,40787,10
234,120,15,1,68622,5
235,121,100,4,55021,5
236,121,34,5,1367,10
237,122,58,2,57254,15
238,123,9,3,62593,10
239,123,71,2,62121,5
240,123,70,3,58005,5
241,124,4,5,59738,10
242,124,47,4,26258,5
243,125,93,4,50305,15
244,125,62,5,39463,0
245,125,68,2,37706,10
246,126,45,5,20966,5
247,126,17,2,17254,15
248,126,100,5,55021,0
249,127,42,2,21399,10
250,128,71,3,62121,0
251,128,36,5,48493,5
252,128,17,5,17254,5
253,129,11,1,24456,10
254,130,64,5,38852,10
255,131,39,1,27635,0
256,131,59,2,70675,15
257,132,78,3,52483,10
258,132,19,3,60168,15
259,133,41,2,53364,15
260,134,13,1,32371,10
261,135,74,3,40787,5
262,135,93,2,50305,15
263,136,12,4,30928,15
264,137,7,3,76014,15
265,138,56,2,79557,10
266,139,7,5,76014,5
267,139,73,3,44033,10
268,140,36,5,48493,0
269,140,80,2,55824,0
270,140,88,4,32506,10
271,141,78,5,52483,15
272,142,43,4,3348,5
273,142,61,5,41245,5
274,142,67,3,53325,10
275,143,44,5,54064,15
276,143,65,5,55208,10
277,143,66,4,22910,0
278,144,75,1,3301,15
279,144,40,3,13573,5
280,145,93,4,50305,5
281,145,80,2,55824,0
282,145,100,5,55021,0
283,146,20,2,9702,15
284,146,53,5,34337,15
285,147,42,5,21399,15
286,147,85,3,58108,5
287,147,62,4,39463,10
288,148,32,3,17246,10
289,149,27,4,72612,10
290,149,89,4,68427,10
291,149,91,5,35714,10
292,150,49,2,3201,10
293,150,51,1,36685,10
294,150,45,1,20966,10
295,151,26,5,34764,10
296,152,76,1,9645,5
297,152,31,2,36365,0
298,152,32,1,17246,15
299,153,1,5,63753,5
300,154,97,3,76656,10
301,155,74,1,40787,5
302,155,30,4,6758,5
303,155,69,1,76119,15
304,156,2,3,52665,0
305,157,68,5,37706,15
306,157,64,3,38852,5
307,157,18,1,41541,10
308,158,24,3,39751,10
309,158,2,5,52665,5
310,158,95,2,43469,15
311,159,13,4,32371,10
312,159,24,2,39751,0
313,159,18,3,41541,15
314,160,39,5,27635,0
315,160,75,3,3301,10
316,161,40,4,13573,10
317,161,21,1,34860,10
318,162,20,5,9702,10
319,162,59,4,70675,15
320,163,68,4,37706,10
321,164,26,2,34764,5
322,164,74,3,40787,15
323,164,69,1,76119,5
324,165,59,2,70675,15
325,166,40,4,13573,10
326,166,93,1,50305,5
327,166,3,5,49772,0
328,167,70,1,58005,0
329,168,99,2,46205,15
330,169,11,5,24456,5
331,169,88,3,32506,0
332,170,29,1,34700,10
333,170,1,4,63753,15
334,170,97,5,76656,15
335,171,36,2,48493,0
336,172,27,1,72612,0
337,173,7,1,76014,15
338,173,32,4,17246,5
339,173,95,5,43469,5
340,174,94,5,28143,10
341,175,67,3,53325,10
342,175,29,1,34700,5
343,175,53,4,34337,15
344,176,68,4,37706,15
345,176,41,2,53364,10
346,177,31,3,36365,5
347,177,29,4,34700,0
348,178,50,2,43125,10
349,179,48,5,40101,5
350,179,12,1,30928,10
351,180,93,2,50305,15
352,180,86,2,71910,10
353,180,72,3,11214,0
354,181,97,5,76656,5
355,181,62,4,39463,5
356,181,32,5,17246,10
357,182,46,3,5175,15
358,182,40,4,13573,0
359,182,34,4,1367,10
360,183,73,2,44033,5
361,184,93,2,50305,5
362,184,54,3,5114,5
363,184,38,4,47895,5
364,185,83,4,17577,5
365,185,95,3,43469,5
366,185,63,2,53628,15
367,186,86,1,71910,0
368,187,91,2,35714,0
369,188,82,4,32762,15
370,188,86,1,71910,0
371,188,79,5,826,15
372,189,37,4,56433,5
373,189,3,1,49772,0
374,189,65,5,55208,5
375,190,46,4,5175,0
376,190,35,3,19636,15
377,191,88,1,32506,0
378,191,11,4,24456,15
379,192,90,2,57754,0
380,193,13,2,32371,5
381,193,68,5,37706,15
382,193,6,3,24990,0
383,194,5,1,72945,5
384,194,23,5,57533,5
385,194,41,4,53364,0
386,195,50,3,43125,15
387,195,87,2,62316,0
388,195,70,5,58005,10
389,196,44,5,54064,15
390,197,63,3,53628,15
391,197,30,4,6758,5
392,198,32,1,17246,0
393,198,92,3,10661,5
394,199,47,1,26258,0
395,199,14,3,10845,15
396,200,24,4,39751,15
397,201,71,5,62121,10
398,201,12,4,30928,0
399,202,72,5,11214,5
400,202,32,4,17246,5
401,202,74,2,40787,10
402,203,22,4,32118,10
403,204,33,4,58012,5
404,204,32,4,17246,0
405,205,80,3,55824,15
406,205,49,3,3201,15
407,206,26,2,34764,15
408,206,62,3,39463,10
409,206,41,4,53364,5
410,207,15,2,68622,5
411,207,73,5,44033,0
412,208,9,4,62593,5
413,208,53,3,34337,5
414,208,87,3,62316,5
415,209,62,5,39463,15
416,209,75,5,3301,0
417,209,52,3,70382,0
418,210,22,5,32118,0
419,210,83,5,17577,15
420,211,34,2,1367,5
421,212,76,2,9645,10
422,212,89,1,68427,15
423,212,65,1,55208,10
424,213,40,4,13573,5
425,213,44,5,54064,15
426,214,90,1,57754,10
427,214,58,1,57254,0
428,214,41,1,53364,10
429,215,23,3,57533,15
430,215,71,4,62121,5
431,215,21,4,34860,5
432,216,79,5,826,15
433,216,26,4,34764,0
434,216,58,2,57254,5
435,217,24,2,39751,15
436,217,47,1,26258,10
437,217,42,4,21399,10
438,218,46,5,5175,5
439,218,59,3,70675,0
440,219,15,3,68622,5
441,219,24,5,39751,15
442,220,24,5,39751,5
443,220,63,5,53628,5
444,221,58,1,57254,10
445,221,80,1,55824,15
446,222,84,4,69716,15
447,222,64,4,38852,15
448,222,53,2,34337,0
449,223,29,3,34700,5
450,223,69,4,76119,15
451,224,70,1,58005,15
452,224,97,5,76656,5
453,225,39,1,27635,15
454,226,100,2,55021,5
455,227,27,2,72612,0
456,228,42,3,21399,10
457,229,36,2,48493,5
458,230,98,4,75556,15
459,231,58,1,57254,15
460,231,10,5,7555,10
461,232,1,1,63753,15
462,232,100,3,55021,0
463,232,94,5,28143,15
464,233,42,3,21399,5
465,233,37,5,56433,15
466,234,59,2,70675,15
467,234,3,4,49772,0
468,234,16,4,41280,5
469,235,84,3,69716,10
470,236,7,4,76014,10
471,237,13,4,32371,0
472,237,1,2,63753,5
473,237,28,5,79376,15
474,238,55,2,45409,15
475,239,14,3,10845,5
476,239,41,4,53364,5
477,239,48,2,40101,0
478,240,28,2,79376,15
479,240,81,5,67989,15
480,240,96,2,8261,0
481,241,94,4,28143,10
482,241,50,2,43125,5
483,241,45,3,20966,0
484,242,85,3,58108,5
485,243,31,4,36365,15
486,244,10,3,7555,10
487,244,68,2,37706,15
488,244,2,5,52665,15
489,245,3,5,49772,0
490,246,51,5,36685,10
491,247,82,5,32762,5
492,248,27,3,72612,15
493,248,20,5,9702,0
494,248,69,3,76119,15
495,249,15,5,68622,0
496,249,59,3,70675,5
497,250,2,3,52665,10
498,250,21,2,34860,10
499,250,64,2,38852,10
500,251,68,3,37706,0
501,251,9,4,62593,15
502,252,48,2,40101,10
503,253,6,1,24990,5
504,254,23,1,57533,15
505,255,41,5,53364,10
506,255,35,1,19636,0
507,255,10,2,7555,5
508,256,100,3,55021,0
509,256,40,5,13573,15
510,257,39,2,27635,15
511,257,95,3,43469,15
512,257,80,2,55824,5
513,258,70,3,58005,0
514,259,95,3,43469,0
515,259,94,2,28143,5
516,260,36,2,48493,15
517,260,12,3,30928,15
518,260,6,1,24990,0
519,261,8,2,41204,5
520,261,56,3,79557,10
521,261,85,3,58108,15
522,262,10,2,7555,5
523,263,60,4,56631,0
524,263,41,5,53364,10
525,264,16,2,41280,10
526,264,12,5,30928,0
527,265,32,5,17246,0
528,265,46,3,5175,10
529,265,51,2,36685,0
530,266,13,4,32371,0
531,267,17,2,17254,15
532,268,10,1,7555,5
533,268,3,4,49772,5
534,269,7,5,76014,15
535,269,22,4,32118,15
536,270,46,2,5175,5
537,271,79,5,826,5
538,272,8,3,41204,15
539,272,12,2,30928,15
540,273,49,3,3201,15
541,274,50,2,43125,0
542,274,35,3,19636,5
543,275,46,2,5175,5
544,275,99,1,46205,5
545,275,75,2,3301,10
546,276,23,5,57533,10
547,276,31,3,36365,0
548,277,70,2,58005,15
549,277,40,1,13573,0
550,278,68,4,37706,0
551,279,23,1,57533,5
552,279,42,5,21399,5
553,279,8,1,41204,10
554,280,76,3,9645,10
555,280,13,3,32371,5
556,281,41,5,53364,10
557,281,23,2,57533,5
558,281,91,4,35714,10
559,282,74,5,40787,0
560,282,51,2,36685,10
561,282,99,5,46205,5
562,283,10,3,7555,5
563,283,31,1,36365,10
564,283,45,4,20966,0
565,284,45,3,20966,0
566,285,54,4,5114,15
567,285,22,3,32118,15
568,285,53,1,34337,15
569,286,38,1,47895,10
570,287,49,2,3201,0
571,288,91,4,35714,5
572,288,4,5,59738,15
573,289,25,4,72792,10
574,290,51,5,36685,15
575,291,12,5,30928,15
576,291,38,2,47895,0
577,292,11,1,24456,10
578,292,61,4,41245,15
579,293,50,4,43125,10
580,293,24,2,39751,15
581,293,48,1,40101,10
582,294,73,2,44033,0
583,294,8,1,41204,10
584,295,67,5,53325,15
585,295,54,5,5114,5
586,296,5,5,72945,5
587,296,65,1,55208,15
588,296,74,2,40787,5
589,297,11,4,24456,5
590,297,88,2,32506,10
591,298,51,3,36685,15
592,298,71,1,62121,15
593,298,42,1,21399,15
594,299,98,5,75556,0
595,299,13,3,32371,10
596,299,14,4,10845,10
597,300,5,3,72945,15
598,300,23,2,57533,15
